ID,QAPP Name,Revision/Release Date,Project Director,Project Sponsor,Year Covered by QAPP,Analysis Name,Equipment Type,Field Methods,Analytical Methods,Holding Time,Method Detection Limit,Reporting Limit
85,"Quality Assurance Project Plan Ambient Water Quality in the Interstate Environmental District","08/01/12 00:00:00","Phil DeGaetano","Interstate Environmental Commission",2012,"Temperature","YSI Pro-Plus Multimeter","in-situ","SM 18-21 2550B","N/A","-5 to 65 degrees C","-5 to 65 degrees C"
86,"Quality Assurance Project Plan Ambient Water Quality in the Interstate Environmental District","08/01/12 00:00:00","Phil DeGaetano","Interstate Environmental Commission",2012,"Salinity","YSI Pro-Plus Multimeter","in-situ","SM 19-20 2520 B","N/A","0-70 ppt","0-70 ppt"
87,"Quality Assurance Project Plan Ambient Water Quality in the Interstate Environmental District","08/01/12 00:00:00","Phil DeGaetano","Interstate Environmental Commission",2012,"Dissolved Oxygen","YSI Pro-Plus Multimeter","in-situ","SM 20 4500-OG","N/A","0-20 mg/L","0-20 mg/L"
88,"Quality Assurance Project Plan Ambient Water Quality in the Interstate Environmental District","08/01/12 00:00:00","Phil DeGaetano","Interstate Environmental Commission",2012,"Chlorophyll a","500 mL polyethylene bottle","Sample preservation at 4°C in the dark","SM 20 10200H 1+2","Filter within 48 hours","3.7 µg/L","100 µg/L"
89,"Quality Assurance Project Plan Ambient Water Quality in the Interstate Environmental District","08/01/12 00:00:00","Phil DeGaetano","Interstate Environmental Commission",2012,"pH","YSI Pro-Plus Multimeter","in-situ","SM 18-21 4500-H B","N/A","0-14 SU","0-14 SU"
90,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","06/06/13 00:00:00","Phil DeGaetano","NEIWPCC Interstate Environmental Commission",2013,"Temperature","YSI Pro-Plus Multimeter","in-situ","SM 18-21 2550B","N/A","-5 to 65 degrees C","-5 to 65 degrees C"
91,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","06/06/13 00:00:00","Phil DeGaetano","NEIWPCC Interstate Environmental Commission",2013,"Salinity","YSI Pro-Plus Multimeter","in-situ","SM 19-20 2520 B","N/A","0-70 ppt","0-70 ppt"
92,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","06/06/13 00:00:00","Phil DeGaetano","NEIWPCC Interstate Environmental Commission",2013,"Dissolved Oxygen","YSI Pro-Plus Multimeter","in-situ","SM 20 4500-OG","N/A","0-20 mg/L","0-20 mg/L"
93,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","06/06/13 00:00:00","Phil DeGaetano","NEIWPCC Interstate Environmental Commission",2013,"Chlorophyll a","500 mL polyethylene bottle","Sample preservation at 4°C in the dark","SM 20 10200H 1+2","Filter within 48 hours","3.7 µg/L","100 µg/L"
94,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","06/06/13 00:00:00","Phil DeGaetano","NEIWPCC Interstate Environmental Commission",2013,"pH","YSI Pro-Plus Multimeter","in-situ","SM 18-21 4500-H B","N/A","0-14 SU","0-14 SU"
95,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Temperature","YSI Pro-Plus Multimeter","in-situ","SM2550 B-00","N/A","-5 to 65 degrees C","-5 to 65 degrees C"
96,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Salinity","YSI Pro-Plus Multimeter","in-situ","SM 19-20 2520 B","N/A","0-70 ppt","0-70 ppt"
97,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Dissolved Oxygen","YSI Pro-Plus Multimeter","in-situ","SM 4500-OG-11","N/A","0-20 mg/L","0-20 mg/L"
98,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Chlorophyll a","1000 mL polyethylene bottle (collected with TSS sample)","Sample preservation at 4°C in the dark","SM 20 10200H 1+2","Filter within 48 hours; analyze within 28 days","3.7 µg/L","3.7 µg/L"
99,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"pH","YSI Pro-Plus Multimeter","in-situ","SM 4500-H B-11","N/A","0-14 SU","0-14 SU"
100,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Total Suspended Solids (TSS)","1000 mL polyethylene bottle (collected with Chl a sample)","Sample preservation at 4°C in the dark","SM 2540D 97,-11","7 days","0.1-20,000 mg/L","0.1-20,000 mg/L"
101,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Total Dissolved Phosphorus (TDP)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0015 mg/L","0.0045 mg/L"
102,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Total Dissolved Nitrogen (TDN) ","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 353.2","28 days","0.05 mg/L","0.15 mg/L"
103,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Particulate Carbon (PC)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 440","28 days","0.0633 mg/L","0.263 mg/L"
104,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Particulate Nitrogen (PN)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 440","28 days","0.0105 mg/L","0.033 mg/L"
105,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Particulate Phosphorus (PP)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0021 mg/L","0.0070 mg/L"
106,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Dissolved Organic Carbon (DOC)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 415.1","28 days","0.24 mg/L","0.05 mg/L"
107,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Ammonia+Ammonium (phenate method; NH3+NH4)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 350.2","28 days","0.001 mg/L","0.010 mg/L"
108,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Nitrate+Nitrite (Cadmium reduction method; NO23)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 353.2","28 days","0.0007 mg/L","0.0035 mg/L"
109,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Orthophosphate (DIP; PO4)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0006 mg/L","0.0025 mg/L"
110,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Biogenic Silica (BISI)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 366.0","28 days","0.01 mg/L","0.03 mg/L"
111,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Western Long Island Sound","05/12/14 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2014,"Dissolved Silica (SI)","2000 mL polypropylene (volume for all nutrients)","Filter/refrigerate filtrate to 4°C","EPA 366.0","28 days","0.01 mg/L","0.03 mg/L"
112,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Temperature","YSI Pro-Plus Multimeter","in-situ","SM2550 B-00","N/A","-5 to 65 degrees C","-5 to 65 degrees C"
113,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Salinity","YSI Pro-Plus Multimeter","in-situ","SM 19-20 2520 B","N/A","0-70 ppt","0-70 ppt"
114,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Dissolved Oxygen","YSI Pro-Plus Multimeter","in-situ","SM 4500-OG-11","N/A","0-20 mg/L","0-20 mg/L"
115,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Chlorophyll a","1000 mL polyethylene bottle (collected with TSS and BOD sample)","Sample preservation at 4°C in the dark","SM 20 10200H 1+2","Filter within 48 hours; analyze within 28 days","3.7 µg/L","3.7 µg/L"
116,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"pH","YSI Pro-Plus Multimeter","in-situ","SM 4500-H B-11","N/A","0-14 SU","0-14 SU"
117,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Total Suspended Solids (TSS)","1000 mL polyethylene bottle (collected with Chl a and BOD sample)","Sample preservation at 4°C in the dark","SM 2540D 97,-11","7 days","0.1-20,000 mg/L","0.1-20,000 mg/L"
118,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"BOD","1000 mL polyethylene bottle (collected with Chl a and TSS sample)","Cool to 4°C","SM 5210B-01,-11","48 hours","3 mg/L","3 mg/L"
119,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Total Dissolved Phosphorus (TDP)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0015 mg/L","0.0045 mg/L"
120,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Total Dissolved Nitrogen (TDN) ","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 353.2","28 days","0.05 mg/L","0.15 mg/L"
121,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Particulate Carbon (PC)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 440","28 days","0.0633 mg/L","0.263 mg/L"
122,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Particulate Nitrogen (PN)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 440","28 days","0.0105 mg/L","0.033 mg/L"
123,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Particulate Phosphorus (PP)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0021 mg/L","0.0070 mg/L"
124,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Dissolved Organic Carbon (DOC)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 415.1","28 days","0.24 mg/L","0.05 mg/L"
125,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Ammonia+Ammonium (phenate method; NH3+NH4)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 350.2","28 days","0.001 mg/L","0.010 mg/L"
126,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Nitrate+Nitrite (Cadmium reduction method; NO23)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 353.2","28 days","0.0007 mg/L","0.0035 mg/L"
127,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Orthophosphate (DIP; PO4)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 365.1","28 days","0.0006 mg/L","0.0025 mg/L"
128,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Biogenic Silica (BISI)","2000 mL polypropylene (volume for all nutrients)","Filter/freeze to -10°C","EPA 366.0","28 days","0.01 mg/L","0.03 mg/L"
129,"Quality Assurance Project Plan Ambient Water Quality Monitoring in the Far Western Long Island Sound","02/06/15 00:00:00","Bill Shadel","NEIWPCC Interstate Environmental Commission",2015,"Dissolved Silica (SI)","2000 mL polypropylene (volume for all nutrients)","Filter/refrigerate filtrate to 4°C","EPA 366.0","28 days","0.01 mg/L","0.03 mg/L"
130,,,,,,,,,,,,
